name,type_genre,location,recent_project,website,public_contact,social,interest_reason,opening_line,lead_temperature
"Stefanie Kolk","Arthouse drama","Amsterdam, Netherlands","Melk / Milk","https://stefaniekolk.com/","official site / Henneman Agency","https://www.instagram.com/StefanieKolk/","Minimal drama that depends on silence, detail and emotional restraint.","De stilte in Melk voelt muzikaal geladen; dat maakte me nieuwsgierig naar je klankwereld.","medium"
"Ena Sendijarevic","Arthouse, satire, period drama","Amsterdam, Netherlands","Sweet Dreams","https://www.imdb.com/name/nm4467059/","via management / producers","https://www.instagram.com/enasen/","Visually distinctive, absurdist and historically charged cinema.","De eigen toon van Sweet Dreams voelt alsof muziek net zo vervreemdend als verleidelijk mag zijn.","cold"
"Giancarlo Sanchez","Series, film, commercials","Amsterdam, Netherlands","Santos","https://giancarlosanchez.com/","official contact route","https://www.instagram.com/giancarlosanchez/","Pop culture, youth and genre experience with strong commercial reach.","Je werk heeft een directe energie waar sound design veel identiteit aan kan geven.","warm"
"Kevin Osepa","Film, video art, Afro-Caribbean themes","Utrecht / Curacao","Lusgarda; Watamula","https://www.mondriaanfonds.nl/en/activities/prix-de-rome/kevin-osepa/","via gallery / public socials","https://www.instagram.com/kevinisburning/","Ritual, identity and spirituality are highly sound-driven in his visual work.","Je beelden voelen ritueel en zintuiglijk; ik moest meteen denken aan geluid als tweede landschap.","warm"
"Nono Ayuso","Commercials, music video, short film","London / Spain","CUPRA No Drivers","https://www.nono.film/","official site / reps","https://www.instagram.com/nonoayuso/","Human, emotional and large-scale visual work with brand/music crossover.","Je films voelen groots zonder hun menselijke kern te verliezen; daar kan sound veel aan toevoegen.","medium"
"Fenn O'Meally","Short film, fashion, documentary, commercials","London, UK","The Thread","https://fennomeally.com/","Smuggler / Lark Creative","https://www.instagram.com/fenn_omeally/","Tactile, intimate style with movement and music sensitivity.","Je werk heeft een zachte intensiteit die meteen vraagt om een zorgvuldige muzikale laag.","medium"
"Jocelyn Anquetil","Music video, VFX, commercials","London / Amsterdam","Caviar roster; music videos","https://jocelynanquetil.com/","official site / Caviar","https://www.instagram.com/jocelyn_anquetil/","Visually playful, VFX-heavy and already active in music video.","Je werelden zijn zo visueel eigen dat een uitgesproken sonic signature logisch voelt.","warm"
"Duncan Loudon","Music video, experimental commercials","London, UK","Nike / music videos","https://www.duncanloudon.co.uk/contact","official contact page / Somesuch","https://www.instagram.com/duncan_loudon/","Strong rhythm, mixed media, energy and emotion.","Je montage-energie voelt bijna muzikaal; ik zou graag eens klankideeën naast je beelden leggen.","warm"
"Tom Emmerson","Music video, commercials, creative direction","London, UK","AntsLive; New Balance; Depop","https://tomemmerson.com/","official site / Serial / Colors","https://www.instagram.com/tom.emmerson/","Music-video director with humor, scale and strong visual identity.","Je AntsLive-werk heeft zo'n filmische punch dat ik meteen aan sound-led storytelling dacht.","warm"
"Savanah Leaf","Feature, poetic social drama","USA / UK","Earth Mama","https://parkpictures.com/director/savanah-leaf","via Park Pictures","https://www.instagram.com/savanahleaf/","Debut feature has strong emotional and musical sensitivity.","De zachtheid en pijn in Earth Mama raakten me; de score voelt daar als ademruimte.","medium"
"Charlotte Regan","Feature, short film, music video","London, UK","Scrapper","https://somesuch.co/directors/charlotteregan","via Somesuch","https://www.instagram.com/crcharlotte/","Playful realism, character rhythm and prior music-video context.","De levendigheid van Scrapper voelt alsof muziek deel van de blik van het kind kan zijn.","medium"
"Molly Manning Walker","Feature, coming-of-age","London, UK","How to Have Sex","https://www.mollymanningwalker.com/","official contact page","https://www.instagram.com/maamw/","Youth, body and consent themes require subtle sonic restraint.","De spanning tussen feestgeluid en innerlijke stilte in je film bleef bij me.","medium"
"Luna Carmoon","Arthouse, visceral drama","London, UK","Hoard","https://www.imdb.com/name/nm6863735/","via reps / public socials","https://www.instagram.com/LUNACARMOON/","Sensory cinema where sound can operate almost physically.","Hoard voelt heel tactiel; ik vroeg me af hoe je geluid inzet als herinnering.","medium"
"Georgia Oakley","Queer period drama, feature","UK","Blue Jean","https://eleanor.co/creatives/georgia-oakley/","via Eleanor","https://www.instagram.com/georgiaoakley/","Emotional precision and historical-political layer suit nuanced score outreach.","De ingehouden spanning in Blue Jean voelt als iets waar muziek heel precies moet durven zwijgen.","medium"
"Adura Onashile","Feature drama, theatre-film","Glasgow, UK","Girl","https://neweuropefilmsales.com/movies/girl/","via sales / production","https://www.instagram.com/aduraonashile/","Intimate migration and mother-daughter stories with room for sound detail.","De besloten wereld van Girl voelt alsof geluid de emotionele afstand kan meten.","warm"
"Sean Wang","Feature, short film, coming-of-age","Bay Area / Los Angeles","Didi; Nai Nai & Wai Po","https://www.seanwangfilm.com/","official site / socials","https://www.instagram.com/seanswang/","Personal youth stories with internet and pop-culture sound references.","De 2008-internetenergie van Didi voelt als een geweldige basis voor speelse sound cues.","medium"
"Shuchi Talati","Feature, South Asian coming-of-age","India / USA","Girls Will Be Girls","https://shuchitalati.com/","official contact page","https://www.instagram.com/girlswillbegirls_themovie/","Intimate drama with strong female gaze and subtle emotional rhythm.","Je film lijkt spanning te vinden in kleine blikken; precies waar muziek heel subtiel kan werken.","medium"
"Alessandra Lacorazza","Indie feature, memory, family","Brooklyn, USA","In the Summers","https://alessandra-lacorazza.com/contact","official contact page","https://www.instagram.com/uit14/","Sundance-winning emotional family drama with memory-driven structure.","De manier waarop In the Summers herinnering en warmte draagt, voelt heel muzikaal.","medium"
"India Donaldson","Indie feature, naturalistic drama","USA","Good One","https://www.sundance.org/blogs/give-me-the-backstory-get-to-know-india-donaldson-the-filmmaker-behind-good-one/","via socials / distributor","https://www.instagram.com/indiaadonaldson/","Quiet relational drama with high value for restraint and sound detail.","De spanning in Good One lijkt juist uit stilte en ongemak te komen; dat vind ik interessant.","medium"
"Zia Anger","Experimental, music video, feature","USA","My First Film","https://www.ziaanger.com/","official site","https://www.instagram.com/zfoa/","Extensive music-video experience and experimental form; strong collaboration fit.","Je werk beweegt vrij tussen performance, film en muziek; dat maakt een sound-samenwerking logisch.","warm"
"Raven Jackson","Poetic feature, photography, sensory cinema","Tennessee / USA","All Dirt Roads Taste of Salt","https://raven-jackson.com/all-dirt-roads-taste-of-salt","official site / socials","https://www.instagram.com/dopevibrations/","Highly sensory cinema where sound and score are essential.","Je film voelt als herinnering in textuur; ik dacht direct aan geluid als tastbare laag.","medium"
"Erica Tremblay","Feature, Indigenous drama, TV","USA","Fancy Dance","https://www.sagindie.org/interviews/erica-tremblay-fancy-dance/","public socials / reps","https://www.instagram.com/ericajtremblay/","Culturally specific stories with strong emotional stakes.","Fancy Dance heeft een gevoeligheid waar muziek ondersteunend, niet sturend, moet zijn.","medium"
"Meredith Hama-Brown","Feature, family drama","Vancouver, Canada","Seagrass","https://deadline.com/2023/09/meredith-hama-brown-seagrass-signs-gersh-1235529835/","via reps / socials","https://www.instagram.com/meredithhamabrown/","Subtle psychological family drama with atmosphere and silence.","De ingetogen spanning van Seagrass lijkt me heel interessant om muzikaal bijna onzichtbaar te benaderen.","warm"
"Ariane Louis-Seize","Genre, vampire coming-of-age","Montreal, Canada","Humanist Vampire Seeking Consenting Suicidal Person","https://variety.com/2023/film/global/ariane-louis-seize-humanist-vampire-seeking-consenting-suicidal-person-1235790183/","via producers / socials","https://www.instagram.com/arianexv1/","Offbeat genre with humor, romance and melancholy.","Je vampire-coming-of-age toon voelt alsof muziek tegelijk droogkomisch en teder mag zijn.","medium"
"Zarrar Kahn","Horror, social drama","Toronto / Pakistan","In Flames","https://directors.ca/directors/zarrar-kahn/","DGC / socials","https://www.instagram.com/kahn.zarrar/","Psychological horror and patriarchy themes need strong sound design.","De dreiging in In Flames lijkt me precies het soort spanning waar sound onder de huid kruipt.","medium"
"Sophie Jarvis","Feature, analogue, eco-psychological drama","Vancouver, Canada","Until Branches Bend","https://www.sophiecjarvis.com/films/untilbranchesbend","official site / Boldly","https://www.instagram.com/sophiecjarvis/","Analogue atmospheric style with nature and paranoia.","De spanning tussen landschap en lichaam in je werk voelt heel geschikt voor organische klanken.","warm"
"Graham Foy","Feature, poetic coming-of-age","Toronto, Canada","The Maiden","https://grahamfoy.com/info","official site / reps","https://www.instagram.com/grahambomason/","Quiet atmospheric festival cinema with strong emotional tone.","De dromerige rouw in The Maiden voelt als iets waar muziek heel voorzichtig moet binnenkomen.","warm"
"Anna Hints","Documentary, ritual, folk, body","Estonia","Smoke Sauna Sisterhood; Sauna Day","https://www.berlinale-talents.de/bt/talent/anna-hints/profile","via producers / socials","https://www.instagram.com/annahints/","Documentary practice centered on song, breath, ritual and spatial sound.","Je sauna-films voelen bijna als klankruimtes; adem, stem en stilte zijn daarin al muziek.","medium"
"Lina Soualem","Documentary, family memory, exile","Paris / Palestine","Bye Bye Tiberias","https://lightdox.com/bye-bye-tiberias/","via sales / producers","https://www.instagram.com/lina__su/","Archive, family history and voice-over offer meaningful score opportunities.","De manier waarop Bye Bye Tiberias familieherinnering opent, voelt heel gevoelig voor muziek.","medium"
"Kaouther Ben Hania","Hybrid docu-fiction","Tunisia / France","Four Daughters","https://tiff.net/events/four-daughters","via producers / socials","https://www.instagram.com/kaoutherbenhania/","Strong hybrid form; high-profile but relevant for documentary-fiction sound thinking.","Je mengvorm van documentaire en performance in Four Daughters roept interessante soundvragen op.","cold"
"Meryam Joobeur","Fiction, magical realism, identity","Montreal / Tunisia","Who Do I Belong To","https://adk.de/en/akademie/prizes-fellowships-foundation/meryam-joobeur","via producers / festival channels","https://www.instagram.com/reel/C3vJc31h1uy/","Magical realism and trauma themes require strong atmosphere.","Je overgang van realisme naar iets bijna mythisch voelt heel spannend voor sound design.","medium"
"Noora Niasari","Feature, immigrant drama","Melbourne, Australia","Shayda","https://dirtyfilms.com/projects/shayda/","via production / socials","https://www.instagram.com/nooraniasari/","Emotional drama with cultural ritual, tension and restrained score potential.","De Nowruz-context in Shayda voelt als een plek waar muziek heel betekenisvol maar ingetogen kan zijn.","medium"
"Amanda Nell Eu","Body horror, coming-of-age","Kuala Lumpur, Malaysia","Tiger Stripes","https://www.semainedelacritique.com/en/articles/about-tiger-stripes","via producers / socials","https://www.instagram.com/nelleu/","Body horror, puberty and monster imagery offer raw sound-design opportunities.","De lichamelijke energie van Tiger Stripes voelt als een geweldig speelveld voor rauwe klank.","medium"
"Lila Aviles","Arthouse, family drama","Mexico City, Mexico","Totem","https://directorslibrary.com/directors/lila-aviles/","via production / socials","https://www.instagram.com/lilaaviles/","Intimate ensemble cinema with organic household soundscape.","De levendigheid van Totem voelt alsof elk huisgeluid een emotionele functie heeft.","medium"
"Farah Nabulsi","Political drama, human rights","UK / Palestine","The Teacher","https://www.farahnabulsi.com/","official website / film site","https://www.instagram.com/farah.nabulsi/","Strong moral urgency and emotional drama, suited to restrained score outreach.","Je films voelen urgent zonder hun menselijkheid te verliezen; die balans lijkt me muzikaal interessant.","medium"
"Sam & David Cutler-Kreutz","Short film, thriller, commercials","New York / Los Angeles","A Lien; Trapped","https://www.samck.com/","official site / RadicalMedia","https://www.instagram.com/samcutlerkreutz/","Oscar-shortlisted duo with commercial/music context and tight suspense craft.","De spanning in A Lien is zo strak geregisseerd dat sound bijna een extra personage kan zijn.","warm"
"Cindy Lee","Short film, commercials, conservation drama","South Africa","The Last Ranger","https://cindyleedirector.com/last_ranger/","official site / Star Films","https://www.instagram.com/cindyleedirector/","Narrative commercials plus short-film momentum; emotionally direct material.","De emotionele directheid van The Last Ranger voelt als iets waar muziek heel precies moet doseren.","warm"
"Adam J. Graves","Short film, social drama","USA / India","Anuja","https://filmfreeway.com/AdamGraves","FilmFreeway / website","https://www.instagram.com/adam_j_graves/","Social realist short with Netflix/Oscar momentum and clear emotional stakes.","De morele keuze in Anuja voelt muzikaal klein maar enorm geladen.","warm"
"TJ O'Grady-Peyton","Short film, commercials, emotional drama","Ireland / UK","Room Taken","https://bettiberlin.com/directors/tj-ogrady-peyton","via rep / socials","https://www.instagram.com/tjogradypeyton11/","Performance-driven commercials and shorts; reachable through roster.","De eenvoud van Room Taken laat zien hoe krachtig stilte en timing kunnen zijn.","warm"
"Maryam Keshavarz","Feature, diaspora, comedy-drama","New York / Los Angeles","The Persian Version","https://www.maryamkeshavarz.com/about","official site / socials","https://www.instagram.com/marakeshfilm/","Music, diaspora, family and humor make her relevant for composer outreach.","De energie van The Persian Version voelt muzikaal levendig zonder de familiepijn te verliezen.","medium"
